ID,Confirmed,Deaths
340,119359,1950
341,818231,12064
342,2809105,48891
343,387998,2161
344,20350,236
345,624133,10426
346,370509,5334
347,143689,2743
348,640614,7366
349,56793,709
350,519369,10920
351,63972,322
352,843474,17100
353,332165,5618
354,3680890,60291
355,472707,6132
356,323878,7916
357,96154,1581
358,2086193,34032
359,1067247,19309
360,31495,479
361,184227,1998
362,1266331,23787
363,690656,13151
364,354989,5887
365,304860,4959
366,430598,6409
367,447009,10232
368,51845,767
369,422476,8401
370,648580,17425
371,819178,17382
372,533554,7085
373,306388,7071
374,583850,8964
375,105413,1454
376,210597,2203
377,304854,5314
378,87170,1250
379,948738,24884
380,192418,3971
381,1933761,51003
382,922047,12321
383,104227,1510
384,1034288,19095
385,441171,4996
386,166630,2434
387,1066823,25224
388,140074,2639
389,557080,9313
390,119595,1952
391,819134,12087
392,2810831,48956
393,388334,2166
394,20503,237
395,624796,10454
396,371384,5347
397,143939,2751
398,641321,7374
399,56858,711
400,519745,10953
401,64112,323
402,843611,17109
403,332353,5618
404,3682231,60402
405,474104,6134
406,325861,7916
407,96317,1584
408,2089274,34106
409,1068075,19339
410,31588,481
411,184751,2003
412,1269383,23813
413,691050,13168
414,355394,5902
415,304966,4968
416,431008,6448
417,447253,10243
418,51996,769
419,423948,8417
420,649748,17455
421,831374,17414
422,535411,7107
423,306526,7076
424,584081,8973
425,105520,1457
426,210757,2206
427,304964,5320
428,87560,1252
429,954269,24925
430,192491,3974
431,1941434,51089
432,922952,12342
433,104375,1511
434,1036739,19101
435,441302,5003
436,166802,2440
437,1072538,25241
438,140441,2642
439,557731,9327
440,119830,1953
441,820014,12110
442,2812816,49029
443,388647,2171
444,20657,238
445,625448,10481
446,372231,5360
447,144184,2759
448,642010,7382
449,56921,712
450,520099,10984
451,64251,324
452,843725,17118
453,332522,5619
454,3683524,60508
455,475398,6134
456,327809,7914
457,96478,1586
458,2092337,34181
459,1068903,19370
460,31681,483
461,185291,2008
462,1272440,23836
463,691415,13185
464,355795,5917
465,305061,4976
466,431411,6486
467,447489,10253
468,52144,772
469,425452,8433
470,650825,17485
471,844519,17456
472,537293,7129
473,306648,7080
474,584291,8984
475,105626,1459
476,210916,2208
477,305061,5326
478,87952,1254
479,959914,24965
480,192560,3978
481,1949126,51174
482,923807,12362
483,104526,1513
484,1039324,19106
485,441418,5010
486,166971,2445
487,1078468,25261
488,140814,2644
489,558375,9342
490,120070,1955
491,820883,12132
492,2814910,49114
493,388932,2176
494,20810,239
495,626094,10509
496,373100,5375
497,144425,2767
498,642688,7389
499,56983,713
500,520430,11012
501,64388,325
502,843840,17130
503,332678,5620
504,3684778,60610
505,476694,6134
506,330065,7915
507,96637,1589
508,2095408,34255
509,1069723,19400
510,31774,484
511,185847,2013
512,1275579,23859
513,691755,13200
514,356196,5932
515,305152,4983
516,431817,6525
517,447720,10264
518,52290,774
519,426988,8450
520,651838,17514
521,858431,17494
522,539199,7151
523,306758,7085
524,584497,8997
525,105730,1462
526,211074,2211
527,305150,5331
528,88348,1255
529,965668,25005
530,192633,3981
531,1956850,51259
532,924569,12378
533,104680,1514
534,1042003,19112
535,441532,5017
536,167139,2450
537,1084632,25282
538,141186,2647
539,559019,9355
540,120318,1957
541,821735,12154
542,2816904,49201
543,389204,2180
544,20963,240
545,626730,10537
546,373962,5388
547,144664,2774
548,643375,7397
549,57043,715
550,520741,11038
551,64524,326
552,843968,17145
553,332828,5621
554,3686010,60711
555,478085,6135
556,332497,7915
557,96793,1591
558,2098445,34328
559,1070523,19429
560,31866,486
561,186421,2019
562,1278871,23885
563,692079,13216
564,356593,5946
565,305242,4990
566,432224,6564
567,447945,10274
568,52433,776
569,428559,8466
570,652813,17543
571,873461,17538
572,541131,7173
573,306867,7089
574,584706,9011
575,105831,1464
576,211230,2213
577,305239,5337
578,88751,1257
579,971561,25047
580,192719,3985
581,1964602,51344
582,925275,12393
583,104837,1515
584,1044755,19117
585,441648,5023
586,167305,2454
587,1091037,25303
588,141563,2649
589,559657,9369
590,120571,1959
591,822573,12175
592,2818682,49284
593,389477,2185
594,21117,241
595,627350,10564
596,374807,5402
597,144898,2782
598,644084,7405
599,57103,716
600,521038,11062
601,64660,327
602,844102,17158
603,332975,5623
604,3687209,60810
605,479591,6138
606,334931,7913
607,96948,1594
608,2101408,34399
609,1071297,19457
610,31959,488
611,187013,2024
612,1282337,23914
613,692392,13230
614,356983,5961
615,305326,4996
616,432623,6603
617,448165,10284
618,52574,778
619,430167,8484
620,653764,17572
621,889413,17584
622,543089,7195
623,306980,7093
624,584917,9024
625,105931,1467
626,211384,2215
627,305329,5343
628,89163,1259
629,977603,25088
630,192809,3989
631,1972373,51429
632,925967,12407
633,104995,1517
634,1047598,19122
635,441764,5030
636,167469,2459
637,1097688,25323
638,141940,2652
639,560281,9381
640,120827,1961
641,823395,12196
642,2820261,49359
643,389757,2189
644,21270,243
645,627951,10591
646,375640,5415
647,145129,2789
648,644816,7414
649,57162,717
650,521322,11085
651,64795,328
652,844229,17168
653,333118,5625
654,3688372,60907
655,481162,6141
656,337518,7911
657,97100,1596
658,2104293,34468
659,1072048,19484
660,32052,489
661,187625,2030
662,1285944,23944
663,692695,13245
664,357363,5974
665,305408,5002
666,433011,6643
667,448379,10294
668,52712,780
669,431814,8501
670,654692,17601
671,906567,17631
672,545074,7217
673,307094,7097
674,585123,9035
675,106029,1469
676,211535,2217
677,305420,5349
678,89581,1261
679,983794,25131
680,192896,3993
681,1980164,51514
682,926664,12421
683,105154,1518
684,1050560,19126
685,441873,5035
686,167631,2462
687,1104587,25343
688,142319,2654
689,560888,9394
690,121086,1963
691,824202,12216
692,2821741,49426
693,390041,2194
694,21424,244
695,628537,10618
696,376475,5428
697,145357,2796
698,645564,7423
699,57220,718
700,521594,11107
701,64930,329
702,844340,17176
703,333256,5627
704,3689506,61001
705,482731,6143
706,340313,7910
707,97250,1598
708,2107122,34535
709,1072780,19510
710,32146,491
711,188256,2035
712,1289651,23972
713,692989,13258
714,357735,5987
715,305486,5007
716,433387,6682
717,448589,10304
718,52848,782
719,433501,8518
720,655595,17629
721,924878,17682
722,547086,7240
723,307206,7101
724,585320,9045
725,106126,1471
726,211685,2219
727,305507,5354
728,90004,1263
729,990139,25173
730,192974,3996
731,1987981,51598
732,927352,12435
733,105315,1520
734,1053662,19130
735,441974,5041
736,167791,2466
737,1111748,25361
738,142700,2657
739,561479,9405
740,121347,1964
741,824995,12236
742,2823217,49491
743,390321,2199
744,21577,245
745,629110,10645
746,377302,5441
747,145583,2804
748,646320,7431
749,57277,720
750,521853,11128
751,65064,329
752,844436,17183
753,333387,5629
754,3690608,61091
755,484267,6144
756,343211,7906
757,97398,1601
758,2109914,34602
759,1073496,19536
760,32239,493
761,188908,2041
762,1293445,24000
763,693273,13271
764,358102,6000
765,305562,5011
766,433756,6720
767,448793,10314
768,52982,784
769,435232,8536
770,656474,17657
771,944485,17735
772,549128,7262
773,307313,7105
774,585508,9055
775,106221,1473
776,211833,2221
777,305589,5358
778,90433,1265
779,996647,25215
780,193045,4000
781,1995825,51683
782,928010,12449
783,105478,1521
784,1056901,19134
785,442067,5047
786,167949,2470
787,1119186,25380
788,143084,2659
789,562056,9417
790,121613,1966
791,825773,12255
792,2824725,49556
793,390591,2203
794,21731,246
795,629672,10671
796,378133,5454
797,145805,2811
798,647081,7440
799,57333,721
800,522101,11148
801,65197,330
802,844526,17190
803,333512,5631
804,3691680,61179
805,485788,6145
806,346247,7902
807,97544,1603
808,2112676,34667
809,1074195,19561
810,32333,494
811,189582,2047
812,1297349,24027
813,693547,13284
814,358465,6013
815,305635,5016
816,434118,6759
817,448992,10324
818,53115,786
819,437007,8555
820,657332,17684
821,965481,17792
822,551199,7285
823,307414,7109
824,585689,9065
825,106314,1475
826,211979,2223
827,305666,5362
828,90867,1267
829,1003321,25257
830,193114,4003
831,2003696,51767
832,928631,12461
833,105643,1523
834,1060274,19137
835,442156,5052
836,168104,2473
837,1126915,25400
838,143470,2662
839,562623,9428
840,121885,1968
841,826537,12274
842,2826238,49622
843,390852,2208
844,21884,247
845,630223,10696
846,378957,5467
847,146024,2818
848,647850,7448
849,57389,722
850,522337,11166
851,65330,331
852,844619,17199
853,333631,5633
854,3692724,61264
855,487340,6145
856,349509,7898
857,97688,1605
858,2115401,34731
859,1074876,19586
860,32426,496
861,190278,2054
862,1301402,24056
863,693811,13295
864,358823,6025
865,305705,5020
866,434476,6798
867,449187,10333
868,53245,788
869,438828,8573
870,658174,17711
871,987929,17852
872,553301,7309
873,307509,7112
874,585866,9075
875,106406,1477
876,212122,2225
877,305740,5366
878,91308,1269
879,1010167,25300
880,193185,4006
881,2011594,51851
882,929225,12473
883,105810,1524
884,1063784,19140
885,442241,5057
886,168258,2476
887,1134952,25419
888,143858,2664
889,563178,9439
890,122160,1970
891,827287,12292
892,2827704,49689
893,391109,2212
894,22038,248
895,630763,10721
896,379774,5480
897,146241,2825
898,648630,7457
899,57443,723
900,522562,11184
901,65463,332
902,844713,17208
903,333745,5635
904,3693741,61347
905,488955,6146
906,352965,7893
907,97830,1608
908,2118083,34794
909,1075540,19609
910,32520,498
911,190998,2060
912,1305629,24086
913,694066,13307
914,359175,6037
915,305773,5024
916,434828,6836
917,449377,10343
918,53373,790
919,440697,8592
920,659006,17737
921,1011985,17916
922,555434,7332
923,307603,7115
924,586038,9084
925,106496,1479
926,212264,2227
927,305812,5370
928,91755,1271
929,1017195,25343
930,193259,4009
931,2019522,51935
932,929805,12484
933,105979,1525
934,1067443,19143
935,442323,5062
936,168409,2479
937,1143307,25439
938,144248,2667
939,563720,9450
940,122440,1972
941,828025,12310
942,2829088,49754
943,391363,2216
944,22192,249
945,631291,10745
946,380586,5492
947,146455,2832
948,649425,7466
949,57497,724
950,522777,11200
951,65595,333
952,844805,17215
953,333856,5637
954,3694731,61429
955,490633,6148
956,356596,7887
957,97971,1610
958,2120721,34855
959,1076187,19632
960,32614,499
961,191742,2067
962,1310033,24118
963,694313,13317
964,359522,6048
965,305838,5027
966,435173,6875
967,449563,10352
968,53500,791
969,442616,8611
970,659831,17762
971,1037712,17984
972,557599,7356
973,307694,7119
974,586207,9093
975,106585,1481
976,212403,2229
977,305882,5374
978,92209,1273
979,1024411,25387
980,193332,4012
981,2027479,52020
982,930374,12495
983,106150,1527
984,1071268,19145
985,442400,5067
986,168558,2482
987,1151995,25458
988,144640,2669
989,564250,9460
990,122724,1974
991,828750,12328
992,2830386,49816
993,391616,2220
994,22346,251
995,631809,10769
996,381394,5505
997,146667,2839
998,650237,7475
999,57550,725
1000,522983,11216
1001,65727,333
1002,844890,17221
1003,333963,5639
1004,3695694,61508
1005,492352,6149
1006,360452,7881
1007,98109,1612
1008,2123320,34915
1009,1076817,19654
1010,32709,501
1011,192511,2074
1012,1314600,24150
1013,694553,13327
1014,359864,6060
1015,305901,5031
1016,435511,6913
1017,449744,10361
1018,53625,793
1019,444586,8631
1020,660650,17788
1021,1065273,18056
1022,559798,7380
1023,307785,7122
1024,586370,9102
1025,106673,1483
1026,212540,2231
1027,305951,5378
1028,92670,1275
1029,1031823,25431
1030,193403,4015
1031,2035468,52104
1032,930930,12506
1033,106323,1528
1034,1075267,19147
1035,442473,5071
1036,168704,2485
1037,1161029,25478
1038,145035,2672
1039,564766,9470
1040,123012,1976
1041,829462,12345
1042,2831623,49874
1043,391868,2225
1044,22501,252
1045,632315,10792
1046,382199,5517
1047,146876,2846
1048,651064,7484
1049,57603,726
1050,523180,11231
1051,65858,334
1052,844967,17227
1053,334068,5641
1054,3696631,61584
1055,494086,6150
1056,364553,7874
1057,98246,1614
1058,2125883,34973
1059,1077432,19676
1060,32804,502
1061,193307,2081
1062,1319322,24182
1063,694786,13337
1064,360201,6071
1065,305962,5034
1066,435843,6951
1067,449921,10370
1068,53749,795
1069,446610,8651
1070,661464,17812
1071,1094768,18133
1072,562029,7404
1073,307872,7125
1074,586529,9110
1075,106759,1484
1076,212676,2233
1077,306018,5381
1078,93138,1277
1079,1039438,25476
1080,193470,4018
1081,2043488,52188
1082,931466,12516
1083,106499,1530
1084,1079448,19149
1085,442542,5076
1086,168848,2488
1087,1170425,25497
1088,145433,2674
1089,565271,9480
1090,123305,1978
1091,830162,12362
1092,2832825,49931
1093,392115,2229
1094,22655,253
1095,632812,10815
1096,383001,5530
1097,147082,2852
1098,651905,7493
1099,57654,727
1100,523368,11245
1101,65989,335
1102,845038,17232
1103,334168,5643
1104,3697542,61659
1105,495829,6151
1106,368886,7865
1107,98380,1616
1108,2128413,35030
1109,1078032,19697
1110,32899,504
1111,194131,2088
1112,1324208,24214
1113,695012,13346
1114,360534,6082
1115,306020,5037
1116,436169,6990
1117,450094,10379
1118,53871,796
1119,448690,8671
1120,662273,17836
1121,1126351,18214
1122,564295,7429
1123,307957,7128
1124,586682,9118
1125,106844,1486
1126,212809,2235
1127,306082,5384
1128,93613,1279
1129,1047264,25521
1130,193533,4021
1131,2051542,52272
1132,931983,12526
1133,106676,1531
1134,1083817,19150
1135,442607,5080
1136,168990,2491
1137,1180201,25516
1138,145832,2677
1139,565764,9489
1140,123603,1980
1141,830850,12379
1142,2834005,49986
1143,392357,2233
1144,22810,254
1145,633299,10837
1146,383799,5542
1147,147286,2859
1148,652759,7502
1149,57705,728
1150,523549,11258
1151,66120,336
1152,845107,17238
1153,334265,5645
1154,3698429,61731
1155,497594,6151
1156,373477,7856
1157,98513,1618
1158,2130909,35086
1159,1078616,19718
1160,32994,505
1161,194983,2096
1162,1329277,24247
1163,695231,13355
1164,360862,6092
1165,306077,5039
1166,436489,7028
1167,450263,10388
1168,53991,798
1169,450827,8692
1170,663079,17860
1171,1160169,18301
1172,566597,7454
1173,308039,7131
1174,586831,9125
1175,106927,1488
1176,212940,2237
1177,306143,5387
1178,94095,1281
1179,1055309,25566
1180,193596,4023
1181,2059630,52356
1182,932482,12535
1183,106856,1533
1184,1088385,19151
1185,442669,5084
1186,169129,2493
1187,1190373,25536
1188,146235,2679
1189,566246,9499
1190,123905,1982
1191,831527,12395
1192,2835162,50041
1193,392595,2237
1194,22965,255
1195,633776,10858
1196,384592,5554
1197,147488,2866
1198,653627,7511
1199,57756,729
1200,523722,11271
1201,66250,336
1202,845176,17243
1203,334359,5647
1204,3699292,61802
1205,499398,6151
1206,378360,7846
1207,98644,1621
1208,2133369,35141
1209,1079186,19737
1210,33090,507
1211,195865,2103
1212,1334550,24281
1213,695445,13363
1214,361186,6103
1215,306132,5042
1216,436804,7066
1217,450429,10397
1218,54110,800
1219,453024,8713
1220,663882,17883
1221,1196375,18393
1222,568934,7480
1223,308118,7134
1224,586976,9133
1225,107010,1490
1226,213068,2238
1227,306202,5390
1228,94585,1284
1229,1063582,25612
1230,193659,4026
1231,2067753,52440
1232,932969,12545
1233,107038,1534
1234,1093164,19152
1235,442727,5088
1236,169266,2496
1237,1200959,25556
1238,146640,2682
1239,566716,9508
1240,124212,1984
1241,832192,12411
1242,2836284,50095
1243,392830,2241
1244,23121,256
1245,634244,10879
1246,385382,5566
1247,147688,2872
1248,654510,7521
1249,57806,730
1250,523888,11283
1251,66380,337
1252,845243,17249
1253,334449,5649
1254,3700132,61870
1255,501253,6151
1256,383542,7835
1257,98773,1623
1258,2135795,35195
1259,1079741,19757
1260,33186,509
1261,196778,2112
1262,1340038,24317
1263,695652,13371
1264,361506,6113
1265,306184,5045
1266,437113,7104
1267,450590,10406
1268,54228,801
1269,455283,8735
1270,664682,17905
1271,1235150,18492
1272,571308,7505
1273,308194,7136
1274,587117,9140
1275,107091,1491
1276,213195,2240
1277,306259,5393
1278,95082,1286
1279,1072091,25659
1280,193721,4028
1281,2075913,52524
1282,933443,12554
1283,107222,1536
1284,1098167,19153
1285,442782,5092
1286,169400,2499
1287,1211976,25576
1288,147047,2684
1289,567176,9517
1290,124524,1986
1291,832846,12426
1292,2837360,50147
1293,393061,2245
1294,23277,257
1295,634702,10899
1296,386168,5578
1297,147886,2879
1298,655410,7530
1299,57855,731
1300,524047,11294
1301,66510,338
1302,845307,17253
1303,334537,5651
1304,3700949,61937
1305,503156,6152
1306,389037,7822
1307,98900,1625
1308,2138187,35248
1309,1080282,19776
1310,33283,510
1311,197724,2120
1312,1345746,24354
1313,695854,13379
1314,361821,6123
1315,306235,5047
1316,437417,7142
1317,450748,10414
1318,54344,803
1319,457606,8757
1320,665481,17928
1321,1276666,18597
1322,573719,7531
1323,308268,7139
1324,587253,9147
1325,107171,1493
1326,213320,2242
1327,306315,5396
1328,95587,1288
1329,1080846,25706
1330,193782,4031
1331,2084109,52608
1332,933904,12562
1333,107408,1538
1334,1103406,19153
1335,442834,5095
1336,169532,2501
1337,1223445,25596
1338,147457,2687
1339,567625,9526
1340,124842,1988
1341,833489,12441
1342,2838390,50198
1343,393290,2249
1344,23433,258
1345,635151,10918
1346,386952,5590
1347,148081,2885
1348,656327,7540
1349,57903,732
1350,524200,11305
1351,66639,339
1352,845367,17257
1353,334622,5652
1354,3701745,62002
1355,505098,6152
1356,394876,7809
1357,99026,1627
1358,2140546,35300
1359,1080810,19794
1360,33380,512
1361,198703,2128
1362,1351674,24391
1363,696050,13386
1364,362133,6133
1365,306285,5049
1366,437716,7180
1367,450903,10423
1368,54459,804
1369,459996,8780
1370,666279,17949
1371,1321128,18709
1372,576168,7558
1373,308341,7141
1374,587386,9153
1375,107249,1494
1376,213443,2244
1377,306369,5398
1378,96099,1290
1379,1089856,25754
1380,193841,4033
1381,2092344,52692
1382,934352,12571
1383,107597,1539
1384,1108892,19152
1385,442883,5099
1386,169662,2504
1387,1235384,25617
1388,147870,2689
1389,568063,9534
1390,125164,1990
1391,834122,12456
1392,2839378,50247
1393,393517,2253
1394,23589,260
1395,635591,10937
1396,387732,5602
1397,148274,2892
1398,657261,7550
1399,57951,733
1400,524347,11316
1401,66768,339
1402,845422,17261
1403,334704,5654
1404,3702518,62065
1405,507071,6152
1406,401081,7794
1407,99150,1629
1408,2142872,35350
1409,1081324,19812
1410,33477,513
1411,199717,2137
1412,1357830,24429
1413,696241,13393
1414,362441,6142
1415,306332,5051
1416,438010,7217
1417,451054,10431
1418,54573,806
1419,462454,8803
1420,667074,17970
1421,1368740,18829
1422,578656,7585
1423,308411,7144
1424,587515,9159
1425,107327,1496
1426,213565,2245
1427,306421,5401
1428,96620,1292
1429,1099130,25803
1430,193899,4036
1431,2100617,52776
1432,934786,12579
1433,107788,1541
1434,1114638,19151
1435,442929,5102
1436,169789,2507
1437,1247815,25638
1438,148286,2692
1439,568491,9542
1440,125491,1992
1441,834744,12470
1442,2840332,50294
1443,393740,2257
1444,23746,261
1445,636022,10955
1446,388508,5613
1447,148465,2898
1448,658212,7560
1449,57999,734
1450,524488,11326
1451,66897,340
1452,845474,17265
1453,334783,5656
1454,3703271,62126
1455,509076,6152
1456,407671,7778
1457,99273,1630
1458,2145167,35400
1459,1081825,19830
1460,33574,515
1461,200767,2146
1462,1364226,24469
1463,696426,13399
1464,362744,6152
1465,306378,5054
1466,438299,7255
1467,451202,10439
1468,54685,807
1469,464984,8827
1470,667868,17991
1471,1419729,18957
1472,581184,7612
1473,308479,7146
1474,587640,9166
1475,107403,1497
1476,213684,2247
1477,306472,5403
1478,97149,1295
1479,1108678,25852
1480,193954,4038
1481,2108931,52861
1482,935206,12587
1483,107981,1542
1484,1120657,19150
1485,442973,5105
1486,169915,2509
1487,1260759,25659
1488,148705,2694
1489,568909,9550
1490,125824,1994
1491,835357,12485
1492,2841258,50340
1493,393959,2260
1494,23902,262
1495,636445,10972
1496,389282,5625
1497,148654,2904
1498,659181,7570
1499,58046,735
